ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
STRG.1.1_ORF_1	824	+	2	383	817	435	0.5708	-0.318338500292883	2.22044604925031e-16
STRG.1.1_ORF_2	824	-	3	708	526	183	0.9016	-0.23133377732884	2.22044604925031e-16
STRG.1.1_ORF_3	824	-	3	117	1	117	0.6936	0.0888327110981132	2.22044604925031e-16
STRG.1.1_ORF_4	824	+	1	277	357	81	1.041	-0.31567018736776	2.22044604925031e-16
STRG.1.1_ORF_5	824	+	2	182	259	78	1.0471	-0.30185603353472	2.22044604925031e-16
STRG.28.1_ORF_1	1804	+	1	97	1743	1647	0.9263	0.255468636904393	0.865612733569376
STRG.28.1_ORF_2	1804	-	2	1635	1129	507	0.9268	-0.0513759406406679	2.22044604925031e-16
STRG.28.1_ORF_3	1804	+	2	692	955	264	0.8213	-0.0907041612514098	2.22044604925031e-16
STRG.28.1_ORF_4	1804	-	2	978	745	234	0.8684	-0.0703691752180897	2.22044604925031e-16
STRG.28.1_ORF_5	1804	-	3	1163	933	231	0.8181	-0.140059461200132	2.22044604925031e-16
STRG.32.1_ORF_1	3061	+	3	1920	2687	768	1.0246	0.330032915942331	2.22044604925031e-16
STRG.32.1_ORF_2	3061	+	2	1220	1855	636	1.2725	0.340134041711236	2.22044604925031e-16
STRG.32.1_ORF_3	3061	-	1	1795	1202	594	1.1049	0.178274850053005	2.22044604925031e-16
STRG.32.1_ORF_4	3061	+	3	465	1034	570	0.9821	0.0350253266091839	2.22044604925031e-16
STRG.32.1_ORF_5	3061	-	3	959	561	399	1.18	0.278772251845463	2.22044604925031e-16
STRG.32.3_ORF_1	3881	+	1	2740	3507	768	1.0246	0.330032915942331	2.22044604925031e-16
STRG.32.3_ORF_2	3881	+	3	2040	2675	636	1.2725	0.340134041711236	2.22044604925031e-16
STRG.32.3_ORF_3	3881	-	1	2615	2022	594	1.1049	0.178274850053005	2.22044604925031e-16
STRG.32.3_ORF_4	3881	+	2	626	1081	456	0.9963	0.0338680220340409	2.22044604925031e-16
STRG.32.3_ORF_5	3881	-	2	1006	608	399	1.18	0.278772251845463	2.22044604925031e-16
STRG.124.1_ORF_1	2629	+	3	165	2195	2031	1.2138	0.407806415705879	2.22044604925031e-16
STRG.124.1_ORF_2	2629	-	3	2216	1875	342	1.0756	0.123171740266735	2.22044604925031e-16
STRG.124.1_ORF_3	2629	-	1	922	677	246	0.9273	0.0793010306466903	2.22044604925031e-16
STRG.124.1_ORF_4	2629	+	2	923	1138	216	1.0971	-0.0609451712204431	2.22044604925031e-16
